filename,action,label_id
nav_forward_1778419972847_aa49f0.png,forward,0
nav_right_1778419973240_00bb2e.png,right,3
nav_right_1778419973705_7d2847.png,right,3
nav_right_1778419974074_97a821.png,right,3
nav_right_1778419974418_ab70ed.png,right,3
nav_right_1778419974760_0d10c0.png,right,3
nav_right_1778419975108_44a073.png,right,3
nav_right_1778419975455_2cdf4f.png,right,3
nav_right_1778419975794_65537e.png,right,3
nav_right_1778419976137_67311e.png,right,3
nav_right_1778419976490_7f5a2a.png,right,3
nav_right_1778419976836_033d89.png,right,3
nav_right_1778419977181_c0effe.png,right,3
nav_right_1778419977528_d8d881.png,right,3
nav_right_1778419977879_4a7690.png,right,3
nav_right_1778419978269_a6c07a.png,right,3
nav_right_1778419978642_ffc4a8.png,right,3
nav_right_1778419979036_a0e393.png,right,3
nav_right_1778419979406_e9c45e.png,right,3
nav_right_1778419979769_279c17.png,right,3
nav_right_1778419980139_ce5b07.png,right,3
nav_right_1778419980675_595ab5.png,right,3
nav_right_1778419981175_f883c4.png,right,3
nav_right_1778419981520_4d352b.png,right,3
nav_right_1778419981863_6ea02e.png,right,3
nav_right_1778419982207_527366.png,right,3
nav_right_1778419982551_87f710.png,right,3
nav_right_1778419982896_d3db35.png,right,3
nav_right_1778419983238_331b1a.png,right,3
nav_right_1778419983579_334b98.png,right,3
nav_right_1778419983919_a38379.png,right,3
nav_right_1778419984264_c935a5.png,right,3
nav_right_1778419984603_71dab1.png,right,3
nav_right_1778419984940_a0a6be.png,right,3
nav_right_1778419985281_37e0b7.png,right,3
nav_right_1778419985625_74b2a3.png,right,3
nav_right_1778419985975_9227e7.png,right,3
nav_right_1778419986327_ab39e5.png,right,3
nav_right_1778419986677_c06332.png,right,3
nav_right_1778419987028_a7f4a1.png,right,3
nav_right_1778419987374_84abdd.png,right,3
nav_right_1778419987726_03668a.png,right,3
nav_right_1778419988077_7c1ede.png,right,3
nav_right_1778419988431_93aa3f.png,right,3
nav_right_1778419988780_5b6b7e.png,right,3
nav_right_1778419989126_332bde.png,right,3
nav_right_1778419989482_e2a2fd.png,right,3
nav_right_1778419989833_f2da18.png,right,3
